source,split,checkpoint,bucket,horizon_min,n,mean_bps,ci_lo,ci_hi,test_id,robust_type
M15_trim1pct,DISCOVERY,10:00,"[0.15,+inf)",60,35,-23.24617504249745,-42.96027122358194,-6.0558260512862985,"D2_10:00_[0.15,+inf)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,11:00,"(-0.05,0.05)",30,124,-3.1105453528458247,-9.72300831151405,3.8500501322077025,"D2_11:00_(-0.05,0.05)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,11:00,"(-0.05,0.05)",60,124,-1.5168682253523484,-10.193852925281135,8.26849886702627,"D2_11:00_(-0.05,0.05)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,11:00,"(-0.15,-0.05]",30,89,-2.806278462815969,-9.843579622919043,4.468608542246228,"D2_11:00_(-0.15,-0.05]_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,11:00,"(-0.15,-0.05]",60,89,2.075538633475497,-7.89417520852342,11.828751779208833,"D2_11:00_(-0.15,-0.05]_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,11:00,"(-inf,-0.15]",30,128,-1.7993826642801258,-7.928047167208172,4.64064208373582,"D2_11:00_(-inf,-0.15]_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,11:00,"(-inf,-0.15]",60,128,-4.074748270275521,-12.741027697984354,5.366828475459373,"D2_11:00_(-inf,-0.15]_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,11:00,"[0.05,0.15)",30,104,-4.539079324627718,-11.341776392748098,1.9506500247174061,"D2_11:00_[0.05,0.15)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,11:00,"[0.05,0.15)",60,104,-6.9672529766244224,-16.669764938279233,2.3486341453236603,"D2_11:00_[0.05,0.15)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,11:00,"[0.15,+inf)",30,143,-1.4455749267129079,-7.046383162602767,3.7999688086005383,"D2_11:00_[0.15,+inf)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,11:00,"[0.15,+inf)",60,143,-2.695489317241568,-10.409718440752949,4.662876916031377,"D2_11:00_[0.15,+inf)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,12:00,"(-0.05,0.05)",30,103,2.6164737074668443,-2.599524245479074,7.3533926484780086,"D2_12:00_(-0.05,0.05)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,12:00,"(-0.05,0.05)",60,103,2.1250591684763807,-4.846917816627313,8.644162318160307,"D2_12:00_(-0.05,0.05)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,12:00,"(-0.15,-0.05]",30,89,-0.4588038308226127,-6.904426359703297,6.2214928500813915,"D2_12:00_(-0.15,-0.05]_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,12:00,"(-0.15,-0.05]",60,89,0.9095253112266146,-7.7755347302627,9.656558395432056,"D2_12:00_(-0.15,-0.05]_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,12:00,"(-inf,-0.15]",30,150,-1.9240020969645861,-6.117773627040348,2.15928805054581,"D2_12:00_(-inf,-0.15]_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,12:00,"(-inf,-0.15]",60,150,-0.40606289063187545,-6.073150696444071,5.245669569944301,"D2_12:00_(-inf,-0.15]_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,12:00,"[0.05,0.15)",30,88,2.093487897947214,-5.12419569474384,9.616466307945394,"D2_12:00_[0.05,0.15)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,12:00,"[0.05,0.15)",60,88,1.6898816887720136,-7.662006945323208,10.045754062861391,"D2_12:00_[0.05,0.15)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,12:00,"[0.15,+inf)",30,147,1.8605228091817798,-2.252758132714627,5.914904926178106,"D2_12:00_[0.15,+inf)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,12:00,"[0.15,+inf)",60,147,1.7478036021181371,-3.864228690974438,7.5536970919920705,"D2_12:00_[0.15,+inf)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,13:00,"(-0.05,0.05)",30,95,-1.6944451443715067,-6.264125196234202,2.6496569716695832,"D2_13:00_(-0.05,0.05)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,13:00,"(-0.05,0.05)",60,95,-3.4926858515597368,-8.751081436854594,1.708641548073221,"D2_13:00_(-0.05,0.05)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,13:00,"(-0.15,-0.05]",30,70,0.3009854095975537,-3.69124584220105,4.012314254838717,"D2_13:00_(-0.15,-0.05]_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,13:00,"(-0.15,-0.05]",60,70,-1.3275864844635334,-7.752439480276699,4.524464585690502,"D2_13:00_(-0.15,-0.05]_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,13:00,"(-inf,-0.15]",30,165,0.09197943328191496,-3.185894267319415,3.0725048754019473,"D2_13:00_(-inf,-0.15]_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,13:00,"(-inf,-0.15]",60,165,0.8869041473327031,-3.831986559748214,5.237579782254827,"D2_13:00_(-inf,-0.15]_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,13:00,"[0.05,0.15)",30,85,-2.9575808029413166,-7.091699672813334,1.7895848056744688,"D2_13:00_[0.05,0.15)_30",trim1pct_dev_n_M15
