date,year,weekday,open_0900,close_0915,close_prev_day,ret_first,ret_on_first,ret_on,ret_last,ret_last_method,vol_prev_range_pct,vol_tercile
2022-02-15,2022,Tuesday,114500.0,114480.0,113960.0,-0.00017467248908298316,0.0045630045630045135,0.004738504738504679,0.0027909816405737864,standard_1815_1745,0.012654867256637168,low
2022-02-16,2022,Wednesday,116255.0,116510.0,115135.0,0.0021934540449872753,0.01194250227993221,0.00972771094801761,-0.0007703830515728427,standard_1815_1745,0.010087336244541485,low
2022-02-17,2022,Thursday,116300.0,116315.0,116680.0,0.00012897678417878033,-0.0031282139184093394,-0.0032567706547823594,-0.0014332247557002908,standard_1815_1745,0.00873080727710636,low
2022-02-18,2022,Friday,115355.0,115560.0,114900.0,0.0017771227948506496,0.005744125326370808,0.003959965187119163,-0.0017485574401119308,standard_1815_1745,0.015735167669819434,mid
2022-02-21,2022,Monday,114320.0,114270.0,114160.0,-0.00043736878936317947,0.0009635599159074637,0.0014015416958654825,-0.0003535911602210451,standard_1815_1745,0.015213904902258246,mid
2022-02-22,2022,Tuesday,113650.0,114265.0,112950.0,0.005411350637923418,0.01164231961044715,0.00619743249225313,0.0035460992907800915,standard_1815_1745,0.016532540237928623,mid
2022-02-23,2022,Wednesday,114700.0,114745.0,114795.0,0.00039232781168263564,-0.0004355590400278997,-0.0008275621760529539,-0.002075055187637953,standard_1815_1745,0.010646722393312803,low
2022-02-24,2022,Thursday,110500.0,110910.0,113010.0,0.00371040723981908,-0.018582426333952795,-0.022210423856295902,0.0016890390256911747,standard_1815_1745,0.01904969485614647,high
2022-02-25,2022,Friday,112595.0,112105.0,112750.0,-0.004351880634131167,-0.005720620842572077,-0.0013747228381374432,0.0025440828142819782,standard_1815_1745,0.025520361990950226,high
2022-03-03,2022,Thursday,116550.0,116425.0,116605.0,-0.0010725010725011197,-0.0015436730843445545,-0.00047167788688307066,0.0032695203269519357,standard_1815_1745,0.013405639913232105,mid
2022-03-04,2022,Friday,115795.0,115780.0,116610.0,-0.0001295392719893318,-0.007117742903696045,-0.006989108995797966,0.003775550058586097,standard_1815_1745,0.00827970827970828,low
2022-03-07,2022,Monday,115140.0,115055.0,115585.0,-0.000738231717908655,-0.004585370073971529,-0.003849980533806252,-0.006566978746062047,standard_1815_1745,0.014206140161492293,mid
2022-03-08,2022,Tuesday,112720.0,113450.0,111815.0,0.006476224272533804,0.014622367303134709,0.00809372624424265,-0.000401015906964286,standard_1815_1745,0.03313357651554629,high
2022-03-09,2022,Wednesday,113390.0,113250.0,112010.0,-0.001234676779257482,0.011070440139273385,0.012320328542094527,0.0008271658685241601,standard_1815_1745,0.01463804116394606,mid
