signal,k,h,half,quintile,n,mean_fwd_ret_bps,spread_q5_q1_bps,ci95_lo,ci95_hi,spearman,n_quintiles_valid
OFI,15,15,H1,3,1954,0.26132650787440526,-0.4327440182052896,-1.3070488540229124,0.4109611530448362,-0.3,5
OFI,15,15,H1,4,1955,0.9844874583150057,-0.4327440182052896,-1.3070488540229124,0.4109611530448362,-0.3,5
OFI,15,15,H1,5,1955,-0.0881175286146483,-0.4327440182052896,-1.3070488540229124,0.4109611530448362,-0.3,5
OFI,15,15,H2,1,1605,0.5997859753557314,0.07307313802293469,-1.3085985193628686,1.6112769613290847,0.3,5
OFI,15,15,H2,2,1605,0.20128548270417934,0.07307313802293469,-1.3085985193628686,1.6112769613290847,0.3,5
OFI,15,15,H2,3,1604,0.07054020747217503,0.07307313802293469,-1.3085985193628686,1.6112769613290847,0.3,5
OFI,15,15,H2,4,1605,0.4347601347626548,0.07307313802293469,-1.3085985193628686,1.6112769613290847,0.3,5
OFI,15,15,H2,5,1605,0.6728591133786661,0.07307313802293469,-1.3085985193628686,1.6112769613290847,0.3,5
OFI,15,30,H1,1,1955,0.48665700350754704,-0.5116008510940752,-1.6657862197249789,0.6541266055157148,-0.09999999999999999,5
OFI,15,30,H1,2,1954,0.4537314585320689,-0.5116008510940752,-1.6657862197249789,0.6541266055157148,-0.09999999999999999,5
OFI,15,30,H1,3,1954,0.5991235054082571,-0.5116008510940752,-1.6657862197249789,0.6541266055157148,-0.09999999999999999,5
OFI,15,30,H1,4,1954,1.5967051388290872,-0.5116008510940752,-1.6657862197249789,0.6541266055157148,-0.09999999999999999,5
OFI,15,30,H1,5,1955,-0.024943847586528154,-0.5116008510940752,-1.6657862197249789,0.6541266055157148,-0.09999999999999999,5
OFI,15,30,H2,1,1605,1.5697979145230396,-0.5924413654757013,-2.6125069257213656,1.3011220393799925,-0.49999999999999994,5
OFI,15,30,H2,2,1605,0.696424804568245,-0.5924413654757013,-2.6125069257213656,1.3011220393799925,-0.49999999999999994,5
OFI,15,30,H2,3,1604,1.400624010018549,-0.5924413654757013,-2.6125069257213656,1.3011220393799925,-0.49999999999999994,5
OFI,15,30,H2,4,1605,-0.32704690054892616,-0.5924413654757013,-2.6125069257213656,1.3011220393799925,-0.49999999999999994,5
OFI,15,30,H2,5,1605,0.9773565490473384,-0.5924413654757013,-2.6125069257213656,1.3011220393799925,-0.49999999999999994,5
OFI,30,5,H1,1,1896,0.1511771973459901,0.04532297863517737,-0.40575609475711705,0.43845735893860716,0.3,5
OFI,30,5,H1,2,1896,-0.005381325654449064,0.04532297863517737,-0.40575609475711705,0.43845735893860716,0.3,5
OFI,30,5,H1,3,1895,-0.1030370234316069,0.04532297863517737,-0.40575609475711705,0.43845735893860716,0.3,5
OFI,30,5,H1,4,1896,0.12463947642997422,0.04532297863517737,-0.40575609475711705,0.43845735893860716,0.3,5
OFI,30,5,H1,5,1896,0.19650017598116748,0.04532297863517737,-0.40575609475711705,0.43845735893860716,0.3,5
OFI,30,5,H2,1,1557,0.23042347446888697,0.0746466549983835,-0.5887014855016527,0.7078860155675676,0.09999999999999999,5
OFI,30,5,H2,2,1556,-0.06651628535296336,0.0746466549983835,-0.5887014855016527,0.7078860155675676,0.09999999999999999,5
OFI,30,5,H2,3,1556,0.5944803893733294,0.0746466549983835,-0.5887014855016527,0.7078860155675676,0.09999999999999999,5
OFI,30,5,H2,4,1556,-0.20043382388880426,0.0746466549983835,-0.5887014855016527,0.7078860155675676,0.09999999999999999,5
OFI,30,5,H2,5,1556,0.30507012946727047,0.0746466549983835,-0.5887014855016527,0.7078860155675676,0.09999999999999999,5
OFI,30,15,H1,1,1896,0.2805031897932741,0.31627464391588905,-0.7036747549148312,1.2545782699571677,0.6,5
OFI,30,15,H1,2,1895,0.14261454977944732,0.31627464391588905,-0.7036747549148312,1.2545782699571677,0.6,5
OFI,30,15,H1,3,1896,-0.04239216794988194,0.31627464391588905,-0.7036747549148312,1.2545782699571677,0.6,5
OFI,30,15,H1,4,1895,0.4640166057224969,0.31627464391588905,-0.7036747549148312,1.2545782699571677,0.6,5
OFI,30,15,H1,5,1896,0.5967778337091632,0.31627464391588905,-0.7036747549148312,1.2545782699571677,0.6,5
OFI,30,15,H2,1,1557,0.5877589611148926,-0.16665088821362967,-1.681013274274907,1.3046871818015606,-0.7999999999999999,5
OFI,30,15,H2,2,1556,0.6434784162899801,-0.16665088821362967,-1.681013274274907,1.3046871818015606,-0.7999999999999999,5
OFI,30,15,H2,3,1556,0.48600698720436375,-0.16665088821362967,-1.681013274274907,1.3046871818015606,-0.7999999999999999,5
OFI,30,15,H2,4,1556,0.41150377439567826,-0.16665088821362967,-1.681013274274907,1.3046871818015606,-0.7999999999999999,5
OFI,30,15,H2,5,1556,0.4211080729012629,-0.16665088821362967,-1.681013274274907,1.3046871818015606,-0.7999999999999999,5
OFI,30,30,H1,1,1896,0.3963610858391009,0.18900598140626423,-1.6075090956581304,1.9025565860941016,0.09999999999999999,5
OFI,30,30,H1,2,1895,0.8575508184876836,0.18900598140626423,-1.6075090956581304,1.9025565860941016,0.09999999999999999,5
OFI,30,30,H1,3,1896,0.290249845544068,0.18900598140626423,-1.6075090956581304,1.9025565860941016,0.09999999999999999,5
OFI,30,30,H1,4,1895,0.762759314191505,0.18900598140626423,-1.6075090956581304,1.9025565860941016,0.09999999999999999,5
OFI,30,30,H1,5,1896,0.5853670672453651,0.18900598140626423,-1.6075090956581304,1.9025565860941016,0.09999999999999999,5
OFI,30,30,H2,1,1557,0.46720390505853643,0.07420982769639978,-2.4397137707162804,2.259874838381944,0.09999999999999999,5
OFI,30,30,H2,2,1556,1.4285583652061897,0.07420982769639978,-2.4397137707162804,2.259874838381944,0.09999999999999999,5
OFI,30,30,H2,3,1556,1.6415462157116605,0.07420982769639978,-2.4397137707162804,2.259874838381944,0.09999999999999999,5
OFI,30,30,H2,4,1556,0.8704231955248948,0.07420982769639978,-2.4397137707162804,2.259874838381944,0.09999999999999999,5
OFI,30,30,H2,5,1556,0.5414137327549362,0.07420982769639978,-2.4397137707162804,2.259874838381944,0.09999999999999999,5
LARGE_OFI,5,5,H1,1,1995,0.06117033656720849,-0.14168892316544413,-0.5520425939760644,0.2896639857630597,-0.19999999999999998,5
LARGE_OFI,5,5,H1,2,1994,-0.03573602540611187,-0.14168892316544413,-0.5520425939760644,0.2896639857630597,-0.19999999999999998,5
LARGE_OFI,5,5,H1,3,1995,0.44690576915671687,-0.14168892316544413,-0.5520425939760644,0.2896639857630597,-0.19999999999999998,5
LARGE_OFI,5,5,H1,4,1994,0.08615541077104621,-0.14168892316544413,-0.5520425939760644,0.2896639857630597,-0.19999999999999998,5
LARGE_OFI,5,5,H1,5,1995,-0.08051858659823564,-0.14168892316544413,-0.5520425939760644,0.2896639857630597,-0.19999999999999998,5
