config_id,asset,tf,family,split,n_trades,win_rate,pf_gross,pf_net2,pf_net4,pf_net6,exp_gross_bps,exp_net6_bps,avg_hold_bars,pf_net6_ex_top2,pior_ano_pf_net6,max_dd_bps
WIN_M15_F3a_bb20_mr,WIN,M15,F3a,discovery,734,0.555858310626703,0.9623487559229299,0.8951269344933718,0.8317585044022746,0.772053676470974,-1.0706436531671706,-7.070643653167169,13.247956403269756,0.7580984857886321,0.6602104137695455,5679.042909844783
WIN_M15_F3a_bb20_mr,WIN,M15,F3a,confirm,327,0.5504587155963303,1.0622753593798178,0.9558267442835242,0.8583700913692008,0.7691796451497344,1.1486455447780952,-4.851354455221904,13.311926605504587,0.7302643699434949,0.7691796451497344,1768.9857997052923
WIN_M15_F3b_bb20_breakout,WIN,M15,F3b,discovery,734,0.388283378746594,1.039124323531713,0.9674472356761304,0.9015308375935385,0.8408119604405183,1.0706436531671706,-4.92935634683283,13.247956403269756,0.8131083646542189,0.795868026138681,4109.110921835549
WIN_M15_F3b_bb20_breakout,WIN,M15,F3b,confirm,327,0.3577981651376147,0.9413755022839128,0.848641180612325,0.7665300959645621,0.6934692461634497,-1.1486455447780952,-7.148645544778095,13.311926605504587,0.6452941039921876,0.6934692461634497,2605.8295005181076
WIN_M15_F4a_rsi14_70_30,WIN,M15,F4a,discovery,343,0.4897959183673469,0.738657534182091,0.6915046293890322,0.6469987312628388,0.6049452979923917,-9.42614022276958,-15.42614022276958,19.058309037900873,0.5810308366802576,0.49053905144209436,5532.644162549859
WIN_M15_F4a_rsi14_70_30,WIN,M15,F4a,confirm,151,0.4966887417218543,0.8827168873327939,0.8031545407878915,0.730027798477997,0.66284619647058,-2.6874513493587973,-8.687451349358794,18.966887417218544,0.6087914417676314,0.66284619647058,1390.5605538446296
WIN_M15_F4b_rsi2_connors,WIN,M15,F4b,discovery,1698,0.5506478209658422,0.9514531842024706,0.8257082270336585,0.7126392848711216,0.6114390841738103,-0.7204923865358505,-6.720492386535851,4.334511189634864,0.604865279982697,0.5694232668585997,11653.668933783865
WIN_M15_F4b_rsi2_connors,WIN,M15,F4b,confirm,729,0.4993141289437586,1.0636457366215264,0.8601224377901855,0.68876536481229,0.5462107174694326,0.5907946901781277,-5.409205309821873,4.292181069958848,0.5154320366643664,0.5462107174694326,4031.610250596523
WIN_M15_F4c_rsi14_cross50,WIN,M15,F4c,discovery,1682,0.21819262782401902,1.0003535502030005,0.8843130287619934,0.7873678008907312,0.7053474845819037,0.0055565638134049645,-5.994443436186595,6.659928656361474,0.6859515617355078,0.651523246992699,10142.042462431025
WIN_M15_F4c_rsi14_cross50,WIN,M15,F4c,confirm,729,0.20438957475994513,0.912323163262264,0.7561696560669128,0.6362956576850523,0.5418922745944863,-0.9124767753467645,-6.912476775346764,6.965706447187928,0.5085096851982713,0.5418922745944863,5144.871341042232
WIN_M15_F5a_vwap_cross,WIN,M15,F5a,discovery,2428,0.20757825370675453,1.007920775500069,0.8920761828003503,0.7952981815254976,0.7134875756714203,0.12546264649688463,-5.874537353503116,6.819192751235585,0.699884591366254,0.6388778208781136,14230.841897537985
WIN_M15_F5a_vwap_cross,WIN,M15,F5a,confirm,913,0.20810514786418402,0.9695935609783009,0.8152084395819463,0.6945792962073724,0.5982384892878068,-0.3384952507058512,-6.338495250705852,7.518072289156627,0.5696525998816734,0.5982384892878068,5784.919601025092
WIN_M15_F5b_vwap_stretch_k1.0,WIN,M15,F5b,discovery,1179,0.5937234944868532,0.9534338339046664,0.8642759679432873,0.7810886838958364,0.7036521692541898,-0.9934248583311472,-6.993424858331147,9.551314673452078,0.6891800759199754,0.6844987035327348,8451.456800849266
WIN_M15_F5b_vwap_stretch_k1.0,WIN,M15,F5b,confirm,515,0.5728155339805825,0.9591214552384206,0.8336048094894314,0.720435674526467,0.6185553398141265,-0.6104494962741517,-6.610449496274151,10.14757281553398,0.580766505384414,0.6185553398141265,3494.7367276884606
WIN_M15_F5b_vwap_stretch_k1.5,WIN,M15,F5b,discovery,704,0.5667613636363636,0.9543092581802646,0.8802601996887477,0.8106578420970659,0.745387292366355,-1.1754785440047997,-7.1754785440048,12.539772727272727,0.7226774634564536,0.6867839618149467,5302.049017521676
WIN_M15_F5b_vwap_stretch_k1.5,WIN,M15,F5b,confirm,288,0.5138888888888888,0.7795550857903611,0.6909020648934842,0.6103290600957947,0.5370074784249198,-4.275790082620604,-10.275790082620606,14.14236111111111,0.4978229914905066,0.5370074784249198,3027.645879598042
WIN_M15_F6i_adxgt25_ema9x21,WIN,M15,F6i_adx_trend,discovery,163,0.36809815950920244,0.9275567918503828,0.8666823892910469,0.8103873508712013,0.7583640669737072,-2.1854204502014194,-8.185420450201418,15.460122699386503,0.683815022707474,0.6630605923225545,1758.6550623828828
WIN_M15_F6i_adxgt25_ema9x21,WIN,M15,F6i_adx_trend,confirm,68,0.35294117647058826,1.1322587063971679,1.012026490208973,0.9070523813325321,0.815303668580767,2.216007551089362,-3.783992448910639,16.470588235294116,0.6381566201817385,0.815303668580767,635.4046607701791
WIN_M15_F6i_adxgt25_ema21x50,WIN,M15,F6i_adx_trend,discovery,74,0.5540540540540541,1.3280651229880318,1.261365228203653,1.1979079417584382,1.1374551017425252,10.948861715760588,4.948861715760588,22.364864864864863,0.9784731997988688,0.8043809083017842,555.8325753917514
WIN_M15_F6i_adxgt25_ema21x50,WIN,M15,F6i_adx_trend,confirm,35,0.5428571428571428,1.2871930771392552,1.1811925717457863,1.0838998860018267,0.9942843481001125,5.867548162138001,-0.13245183786199927,24.2,0.7062575470377572,0.9942843481001125,311.21107533420826
WIN_M15_F6ii_adxlt20_bb20mr,WIN,M15,F6ii_adx_range,discovery,329,0.5197568389057751,0.80766155058002,0.7492628769484447,0.69437403518156,0.6428360312024706,-5.842754208469143,-11.842754208469144,12.878419452887538,0.6149486611396707,0.6223272158847154,4116.918048105881
WIN_M15_F6ii_adxlt20_bb20mr,WIN,M15,F6ii_adx_range,confirm,147,0.564625850340136,1.0313137818059301,0.9282683133937645,0.8334970574144857,0.7465479041169715,0.5902608587381959,-5.409739141261803,12.666666666666666,0.6763537057828154,0.7465479041169715,982.2787015927665
WIN_M15_F6ii_adxlt20_rsi14_70_30,WIN,M15,F6ii_adx_range,discovery,59,0.4576271186440678,0.6044286860220177,0.5681342908892111,0.5340583873726694,0.5015885684564662,-16.941663989712495,-22.941663989712495,18.64406779661017,0.4193389080213672,0.45167329218596725,1437.1104141990072
WIN_M15_F6ii_adxlt20_rsi14_70_30,WIN,M15,F6ii_adx_range,confirm,23,0.5217391304347826,1.0128113511482222,0.9154045080969703,0.8261531806509874,0.7446832413591647,0.2533731913756867,-5.746626808624313,18.217391304347824,0.5235574166749145,0.7446832413591647,275.49468310777263
WIN_M15_F6ii_adxlt20_vwapstretch_k1.0,WIN,M15,F6ii_adx_range,discovery,485,0.5958762886597938,0.9123734791736601,0.827867012813496,0.7490065421242404,0.6753721267200697,-1.9449216324880454,-7.944921632488046,9.81237113402062,0.6571371551088732,0.6560151235762801,3959.062450385422
WIN_M15_F6ii_adxlt20_vwapstretch_k1.0,WIN,M15,F6ii_adx_range,confirm,230,0.5739130434782609,1.14249284187105,0.9913647547728279,0.8562521392824006,0.7356757652672203,1.8795462004766181,-4.120453799523381,9.821739130434782,0.640165646979134,0.7356757652672203,1129.5249628099841
WIN_M15_F6iii_ema200filter_ema9x21,WIN,M15,F6iii_ema200,discovery,365,0.3972602739726027,1.0483822953843231,0.9706786560043409,0.8994581883775064,0.834167600195903,1.2245331655990022,-4.775466834400997,13.736986301369862,0.7784090187426783,0.7502003287730057,2108.8266347152617
WIN_M15_F6iii_ema200filter_ema9x21,WIN,M15,F6iii_ema200,confirm,159,0.3333333333333333,0.9275460723903509,0.8257805811151038,0.7372768589236973,0.6597633717853684,-1.2641348364230436,-7.264134836423041,14.823899371069182,0.5872968731760808,0.6597633717853684,1571.8080030917552
WIN_M15_F6iii_ema200filter_ema9x50,WIN,M15,F6iii_ema200,discovery,235,0.4085106382978723,1.021347907459068,0.9525125495416332,0.8888428241963973,0.8298861118183803,0.6035977563314253,-5.396402243668574,15.842553191489362,0.7669146126772094,0.7554534524942964,1612.2161884559096
WIN_M15_F6iii_ema200filter_ema9x50,WIN,M15,F6iii_ema200,confirm,115,0.4434782608695652,1.3918016527415034,1.2548698896713655,1.133312541259564,1.0249675013082906,6.494802135210013,0.4948021352100119,19.408695652173915,0.916813607344946,1.0249675013082906,636.8138600132464
WDO_M5_F1_ema9x21,WDO,M5,F1,discovery,848,0.2653301886792453,1.0180974263945826,0.8431029684596196,0.7065179154262757,0.5978914432761686,0.18446235754602588,-5.8155376424539735,21.10495283018868,0.567060966231324,0.5921852588239397,5070.8410853992455
WDO_M5_F1_ema9x21,WDO,M5,F1,confirm,793,0.22950819672131148,1.0268484662014183,0.8293525481756883,0.680814483612031,0.5671631893038818,0.23947282090249306,-5.760527179097507,21.219419924337956,0.5270643910632401,0.5671631893038818,4753.3792704045345
WDO_M5_F1_ema9x50,WDO,M5,F1,discovery,536,0.292910447761194,1.043029778331631,0.8856989990203643,0.758200804719478,0.6535157309624672,0.5050532123134315,-5.494946787686568,29.207089552238806,0.6124472341570706,0.6405937387232131,3496.8278368369624
WDO_M5_F1_ema9x50,WDO,M5,F1,confirm,532,0.24060150375939848,0.9164364279824623,0.7688857888654064,0.6521478077519357,0.5582596176866181,-0.9431249975265269,-6.943124997526527,27.842105263157894,0.5204140442585908,0.5582596176866181,3822.018781860718
WDO_M5_F1_ema9x100,WDO,M5,F1,discovery,416,0.2932692307692308,0.8212970659906801,0.7128723788823568,0.6217935203461413,0.5443570199916966,-2.6398322606042623,-8.639832260604264,32.55288461538461,0.5139727042914254,0.540327337661257,3748.9089080762124
WDO_M5_F1_ema9x100,WDO,M5,F1,confirm,393,0.25699745547073793,0.8651487355508686,0.743998717173242,0.644721687239499,0.5620516556696684,-1.8162208480994413,-7.816220848099442,33.786259541984734,0.517935219954602,0.5620516556696684,3105.4510768584228
WDO_M5_F1_ema21x50,WDO,M5,F1,discovery,389,0.31362467866323906,0.8317671566818764,0.7243401553094925,0.6330646288753589,0.5550922138529542,-2.567258148678623,-8.567258148678622,37.13367609254499,0.5239960046625857,0.5407130979049924,3502.40719876824
WDO_M5_F1_ema21x50,WDO,M5,F1,confirm,354,0.3333333333333333,0.9816146380389178,0.8596913749509075,0.7560602509381367,0.6672396757238495,-0.27436558339504585,-6.274365583395046,41.706214689265536,0.6131327030406798,0.6672396757238495,2555.1404129663874
WDO_M5_F1_ema21x100,WDO,M5,F1,discovery,290,0.33793103448275863,0.8822945713819542,0.7757153328864793,0.6841121893457998,0.6046932891234132,-1.8919010676906642,-7.891901067690665,42.51379310344828,0.5658237567241556,0.6043938587464657,2386.624596208321
WDO_M5_F1_ema21x100,WDO,M5,F1,confirm,278,0.3345323741007194,0.9391996071191048,0.8335562335112282,0.7421888515520564,0.6626361409431816,-1.0286229227973411,-7.02862292279734,46.089928057553955,0.6063624587256125,0.6626361409431816,2306.5632272575826
WDO_M5_F2_macd_cross,WDO,M5,F2,discovery,1530,0.27908496732026145,0.931766648746177,0.7423808237012676,0.598400727001571,0.487412080611236,-0.5995982030274417,-6.599598203027441,13.465359477124183,0.47307400163026686,0.48237271701448503,10135.333347390202
WDO_M5_F2_macd_cross,WDO,M5,F2,confirm,1417,0.2886379675370501,1.0647842924547166,0.8285349919684958,0.6541393515318209,0.5229163816985508,0.48889559960220524,-5.511104400397795,13.649964714184899,0.5054543320560814,0.5229163816985508,7927.089079669487
WDO_M5_F2_macd_cross_zerofilter,WDO,M5,F2,discovery,547,0.23217550274223034,0.8571191495761932,0.6476491996825221,0.49987714438062164,0.39302317371697126,-1.036863465180737,-7.036863465180737,8.340036563071298,0.3620479083663138,0.38927402244702575,3901.5880246315814
WDO_M5_F2_macd_cross_zerofilter,WDO,M5,F2,confirm,482,0.23651452282157676,1.0057898250167836,0.7297117562428077,0.5449637159994851,0.4162965170354409,0.034334107504441574,-5.965665892495559,8.035269709543568,0.37003957240095736,0.4162965170354409,2940.1839176405715
WDO_M5_F3a_bb20_mr,WDO,M5,F3a,discovery,772,0.5233160621761658,0.9236000366662415,0.7488521756249369,0.5991490287727302,0.47216556070615695,-0.7901728674766985,-6.790172867476698,15.634715025906736,0.45873072208872306,0.4713788476741408,5299.563516518445
WDO_M5_F3a_bb20_mr,WDO,M5,F3a,confirm,748,0.4919786096256685,0.9879547506908526,0.778972198363533,0.6056775474136973,0.46393277890650025,-0.1050598873120393,-6.105059887312039,15.307486631016042,0.4485729826785687,0.46393277890650025,4659.01802429562
WDO_M5_F3b_bb20_breakout,WDO,M5,F3b,discovery,772,0.29533678756476683,1.0827197491346214,0.8884344785062803,0.7363204599627461,0.6158159810838226,0.7901728674766985,-5.209827132523301,15.634715025906736,0.5908494175696839,0.612621148204483,4112.912689749078
WDO_M5_F3b_bb20_breakout,WDO,M5,F3b,confirm,748,0.28609625668449196,1.0121921062687582,0.808410920640808,0.653346802592008,0.5335323297868619,0.1050598873120393,-5.894940112687961,15.307486631016042,0.5074447893244375,0.5335323297868619,4569.325831084235
WDO_M5_F4a_rsi14_70_30,WDO,M5,F4a,discovery,334,0.5269461077844312,0.9139233382424012,0.7831932181523809,0.666980483910771,0.564413715828426,-1.1980456076933432,-7.1980456076933415,25.305389221556887,0.5420930106922953,0.030760263504004327,2476.2795666644865
WDO_M5_F4a_rsi14_70_30,WDO,M5,F4a,confirm,319,0.5141065830721003,0.7104288373081116,0.5950233273872558,0.49282284087021605,0.4039225434866004,-4.227059942537062,-10.22705994253706,25.579937304075234,0.3834771352284072,0.4039225434866004,3333.50550049251
