date,year,ret_am_win,ret_pm_win,ret_day_win,z_ret_day_win,is_roll_win,missing_bar13_win,ret_am_wdo,ret_pm_wdo,ret_day_wdo,z_ret_day_wdo,is_roll_wdo,missing_bar13_wdo,div,combo_am,combo_day,excl_am_nan,excl_am_zero,excl_day_nan,excl_day_zero
2024-03-13,2024,0.003024662633783093,-3.8660790226519026e-05,0.0029858849077089022,0.3493778696631737,False,False,0.002313883299798869,-0.0016059419853458046,0.0007042253521127861,0.1298033424756566,False,False,0.4791812121388303,"(+,+)","(+,+)",False,False,False,False
2024-03-14,2024,-0.005287533770744868,0.0010476079618204626,-0.004245465071401,-0.49899523530047163,False,False,0.0036224592473335093,0.002606777621816825,0.006238679814852155,1.1646958624127117,False,False,0.6657006271122401,"(-,+)","(-,+)",False,False,False,False
2024-03-15,2024,-0.008454199953463082,-0.0027377972465582046,-0.011168851314666828,-1.4446268977999643,False,False,0.0014021031547319929,0.000800080008000803,0.0022033049574361474,0.419838324957825,False,False,-1.0247885728421393,"(-,+)","(-,+)",False,False,False,False
2024-03-18,2024,-0.005694227769110771,0.0026280693496509855,-0.0030811232449298176,-0.39276367537071416,False,False,0.005908271580212343,0.0021901443504230844,0.00811135589825751,1.5631190674338968,False,False,1.1703553920631826,"(-,+)","(-,+)",False,False,False,False
2024-03-19,2024,0.005436270483788919,0.0003500855764742017,0.005788259220149472,0.7400012798481609,False,False,-0.004656231424608692,0.0016920473773265332,-0.0029720626114523307,-0.5670006401005212,False,False,0.17300063974763968,"(+,-)","(+,-)",False,False,False,False
2024-03-20,2024,0.0014012143858010973,0.01372046019900508,0.015140899891016746,1.9332026819316823,False,False,-0.0054639380091396905,-0.006892418339826234,-0.012318696602424017,-2.404908831993238,False,False,-0.4717061500615558,"(+,-)","(+,-)",False,False,False,False
2024-03-21,2024,-0.008171564490140448,-0.0029396975205971954,-0.011087240082866545,-1.378133979026102,False,False,0.004841638087552891,-0.0010038144950813566,0.0038329634859795014,0.7168307150955779,False,False,-0.6613032639305241,"(-,+)","(-,+)",False,False,False,False
2024-03-22,2024,-0.005316878177513917,-0.003979711275848619,-0.009275429813327074,-1.1418143788640456,False,False,-0.0014014014014014364,0.003207698476343168,0.0018018018018017834,0.34360279540304517,False,False,-0.7982115834610004,"(-,-)","(-,+)",False,False,False,False
2024-03-25,2024,0.0007436399217222167,-0.0021901521373538513,-0.001448140900195738,-0.17777365519496524,False,False,-0.0016020827075198252,-0.002507271086149787,-0.004105336938019399,-0.7826785053333722,False,False,-0.9604521605283375,"(+,-)","(-,-)",False,False,False,False
2024-03-26,2024,0.0009400705052879932,-0.0010565860530641347,-0.00011750881316097139,-0.014451741442206735,False,False,0.004125163497333828,-0.0030060120240480437,0.001106751182211596,0.210312780983087,False,False,0.19586103954088027,"(+,+)","(-,+)",False,False,False,False
